Statistic,Player,Team,Value,Rank,Year
Triples,Hy Myers,Brooklyn,14.0,,1919
Triples,Billy Southworth,Pittsburgh,14.0,,1919
1919 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1919 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1919 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,1919
Complete Games,Wilbur Cooper,Pittsburgh,27.0,,1919
ERA,Grover Alexander,Chicago,1.72,,1919
Games,Oscar Tuero,St. Louis,45.0,,1919
Saves,Oscar Tuero,St. Louis,4.0,,1919
Shutouts,Grover Alexander,Chicago,9.0,,1919
Strikeouts,Hippo Vaughn,Chicago,141.0,,1919
Winning Percentage,Dutch Ruether,Cincinnati,0.76,,1919
Wins,Jesse Barnes,New York,25.0,,1919
1919 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1919 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1919 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,1919
Team | Roster,W,L,,,1919
Cincinnati Reds,96,44,0.686,0.0,1919
New York Giants,87,53,0.621,9.0,1919
Chicago Cubs,75,65,0.536,21.0,1919
Pittsburgh Pirates,71,68,0.511,,1919
Brooklyn Robins,69,71,0.493,27.0,1919
Boston Braves,57,82,0.41,,1919
St. Louis Cardinals,54,83,0.394,,1919
Philadelphia Phillies,47,90,0.343,,1919
Team | Roster,W,L,,,1919
Final 1919 NL Official Standings,Final 1919 NL Official Standings,Final 1919 NL Official Standings,,,1919
Base on Balls,Cincinnati,405,,,1919
Batting Average,New York,.269,,,1919
Doubles,Philadelphia,208,,,1919
Hits,Brooklyn,1272,,,1919
Home Runs,Philadelphia,42,,,1919
On Base Percentage,Cincinnati,.327,,,1919
Runs,New York,605,,,1919
Slugging Average,New York,.366,,,1919
Stolen Bases,Pittsburgh,196,,,1919
Triples,Cincinnati,83,,,1919
Complete Games,Brooklyn,98,,,1919
ERA,Chicago,2.21,,,1919
Fewest Hits Allowed,Cincinnati,1104,,,1919
Fewest Home Runs Allowed,Chicago,14,,,1919
Fewest Walks Allowed,Pittsburgh,263,,,1919
Saves,New York,13,,,1919
Shutouts,Cincinnati,23,,,1919
Strikeouts,Chicago,495,,,1919
Base on Balls,George Burns,New York,76.0,,1920
Batting Average,Rogers Hornsby,St. Louis,0.37,,1920
Doubles,Rogers Hornsby,St. Louis,44.0,,1920
Hits,Rogers Hornsby,St. Louis,218.0,,1920
Home Runs,Cy Williams,Philadelphia,15.0,,1920
On Base Percentage,Rogers Hornsby,St. Louis,0.431,,1920
RBI,Rogers Hornsby,St. Louis,94.0,,1920
RBI,George Kelly,New York,94.0,,1920
Runs,George Burns,New York,115.0,,1920
Slugging Average,Rogers Hornsby,St. Louis,0.559,,1920
Stolen Bases,Max Carey,Pittsburgh,52.0,,1920
Total Bases,Rogers Hornsby,St. Louis,329.0,,1920
Triples,Hy Myers,Brooklyn,22.0,,1920
1920 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1920 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1920 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,1920
Complete Games,Grover Alexander,Chicago,33.0,,1920
ERA,Grover Alexander,Chicago,1.91,,1920
Games,Jesse Haines,St. Louis,47.0,,1920
Saves,Bill Sherdel,St. Louis,6.0,,1920
Shutouts,Babe Adams,Pittsburgh,8.0,,1920
Strikeouts,Grover Alexander,Chicago,173.0,,1920
Winning Percentage,Burleigh Grimes,Brooklyn,0.676,,1920
Wins,Grover Alexander,Chicago,27.0,,1920
1920 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1920 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1920 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,1920
Team | Roster,W,L,,,1920
Brooklyn Robins,93,61,0.604,0.0,1920
New York Giants,86,68,0.558,7.0,1920
Cincinnati Reds,82,71,0.536,,1920
Pittsburgh Pirates,79,75,0.513,14.0,1920
St. Louis Cardinals,75,79,0.487,18.0,1920
Chicago Cubs,75,79,0.487,18.0,1920
Boston Braves,62,90,0.408,30.0,1920
Philadelphia Phillies,62,91,0.405,,1920
Team | Roster,W,L,,,1920
Final 1920 NL Official Standings,Final 1920 NL Official Standings,Final 1920 NL Official Standings,,,1920
Base on Balls,New York,432,,,1920
Batting Average,St. Louis,.289,,,1920
Doubles,St. Louis,238,,,1920
Hits,St. Louis,1589,,,1920
Home Runs,Philadelphia,64,,,1920
On Base Percentage,St. Louis,.337,,,1920
Runs,New York,682,,,1920
Slugging Average,St. Louis,.385,,,1920
Stolen Bases,Pittsburgh,181,,,1920
Triples,Brooklyn,99,,,1920
Complete Games,Chicago,95,,,1920
ERA,Brooklyn,2.62,,,1920
Fewest Hits Allowed,Cincinnati,1327,,,1920
Fewest Home Runs Allowed,Brooklyn,25,,,1920
Fewest Home Runs Allowed,Pittsburgh,25,,,1920
Fewest Walks Allowed,Pittsburgh,280,,,1920
Saves,St. Louis,12,,,1920
Shutouts,New York,18,,,1920
Strikeouts,Brooklyn,553,,,1920
Base on Balls,George Burns,New York,80.0,,1921
Batting Average,Rogers Hornsby,St. Louis,0.397,,1921
Doubles,Rogers Hornsby,St. Louis,44.0,,1921
Hits,Rogers Hornsby,St. Louis,235.0,,1921
Home Runs,George Kelly,New York,23.0,,1921
On Base Percentage,Rogers Hornsby,St. Louis,0.458,,1921
RBI,Rogers Hornsby,St. Louis,126.0,,1921
Runs,Rogers Hornsby,St. Louis,131.0,,1921
Slugging Average,Rogers Hornsby,St. Louis,0.639,,1921
Stolen Bases,Frankie Frisch,New York,49.0,,1921
Total Bases,Rogers Hornsby,St. Louis,378.0,,1921
Triples,Rogers Hornsby,St. Louis,18.0,,1921
Triples,Ray Powell,Boston,18.0,,1921
1921 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1921 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1921 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,1921
Complete Games,Burleigh Grimes,Brooklyn,30.0,,1921
ERA,Bill Doak,St. Louis,2.59,,1921
Games,Jack Scott,Boston,47.0,,1921
Saves,Lou North,St. Louis,7.0,,1921
Shutouts,Grover Alexander,Chicago,3.0,,1921
Shutouts,Phil Douglas,New York,3.0,,1921
Shutouts,Dana Fillingim,Boston,3.0,,1921
Shutouts,Jesse Haines,St. Louis,3.0,,1921
Shutouts,Dolf Luque,Cincinnati,3.0,,1921
Shutouts,Clarence Mitchell,Brooklyn,3.0,,1921
Shutouts,Johnny Morrison,Pittsburgh,3.0,,1921
Shutouts,Joe Oeschger,Boston,3.0,,1921
Strikeouts,Burleigh Grimes,Brooklyn,136.0,,1921
Winning Percentage,Babe Adams,Pittsburgh,0.737,,1921
Winning Percentage,Whitey Glazner,Pittsburgh,0.737,,1921
Wins,Wilbur Cooper,Pittsburgh,22.0,,1921
Wins,Burleigh Grimes,Brooklyn,22.0,,1921
1921 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1921 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,1921 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year,,,1921
Team | Roster,W,L,,,1921
New York Giants,94,59,0.614,0.0,1921
Pittsburgh Pirates,90,63,0.588,4.0,1921
St. Louis Cardinals,87,66,0.569,7.0,1921
Boston Braves,79,74,0.516,15.0,1921
Brooklyn Robins,77,75,0.507,,1921
Cincinnati Reds,70,83,0.458,24.0,1921
Chicago Cubs,64,89,0.418,30.0,1921
Philadelphia Phillies,51,103,0.331,,1921
Team | Roster,W,L,,,1921
Final 1921 NL Official Standings,Final 1921 NL Official Standings,Final 1921 NL Official Standings,,,1921
Base on Balls,New York,469,,,1921
Batting Average,St. Louis,.308,,,1921
Doubles,St. Louis,260,,,1921
Hits,St. Louis,1635,,,1921
Home Runs,Philadelphia,88,,,1921
On Base Percentage,New York,.359,,,1921
Runs,New York,840,,,1921
Slugging Average,St. Louis,.437,,,1921
Stolen Bases,New York,137,,,1921
Triples,Pittsburgh,104,,,1921
Complete Games,Pittsburgh,88,,,1921
ERA,Pittsburgh,3.17,,,1921
Fewest Hits Allowed,Pittsburgh,1448,,,1921
Fewest Home Runs Allowed,Pittsburgh,37,,,1921
Fewest Walks Allowed,New York,295,,,1921
Saves,New York,18,,,1921
Shutouts,Boston,11,,,1921
Strikeouts,Pittsburgh,500,,,1921
Base on Balls,Max Carey,Pittsburgh,80.0,,1922
Batting Average,Rogers Hornsby,St. Louis,0.401,,1922
Doubles,Rogers Hornsby,St. Louis,46.0,,1922
Hits,Rogers Hornsby,St. Louis,250.0,,1922
Home Runs,Rogers Hornsby,St. Louis,42.0,,1922
On Base Percentage,Rogers Hornsby,St. Louis,0.459,,1922
RBI,Rogers Hornsby,St. Louis,152.0,,1922
Runs,Rogers Hornsby,St. Louis,141.0,,1922
Slugging Average,Rogers Hornsby,St. Louis,0.722,,1922
Stolen Bases,Max Carey,Pittsburgh,51.0,,1922
Total Bases,Rogers Hornsby,St. Louis,450.0,,1922
Triples,Jake Daubert,Cincinnati,22.0,,1922
1922 N.L. History | 1922 A.L. History | Year-by-Year History,1922 N.L. History | 1922 A.L. History | Year-by-Year History,1922 N.L. History | 1922 A.L. History | Year-by-Year History,,,1922
Complete Games,Wilbur Cooper,Pittsburgh,27.0,,1922
ERA,Phil Douglas,New York,2.63,,1922
Games,Lou North,St. Louis,53.0,,1922
Saves,Claude Jonnard,New York,5.0,,1922
Shutouts,Johnny Morrison,Pittsburgh,5.0,,1922
Shutouts,Dazzy Vance,Brooklyn,5.0,,1922
Strikeouts,Dazzy Vance,Brooklyn,134.0,,1922
Winning Percentage,Pete Donohue,Cincinnati,0.667,,1922
Wins,Eppa Rixey,Cincinnati,25.0,,1922
1922 N.L. History | 1922 A.L. History | Year-by-Year History,1922 N.L. History | 1922 A.L. History | Year-by-Year History,1922 N.L. History | 1922 A.L. History | Year-by-Year History,,,1922
Team | Roster,W,L,,,1922
New York Giants,93,61,0.604,0.0,1922
Cincinnati Reds,86,68,0.558,7.0,1922
St. Louis Cardinals,85,69,0.552,8.0,1922
Pittsburgh Pirates,85,69,0.552,8.0,1922
Chicago Cubs,80,74,0.519,13.0,1922
Brooklyn Robins,76,78,0.494,17.0,1922
Philadelphia Phillies,57,96,0.373,,1922
Boston Braves,53,100,0.346,,1922
Team | Roster,W,L,,,1922
National League Team Standings,National League Team Standings,National League Team Standings,,,1922
Base on Balls,Chicago,525,,,1922
Batting Average,Pittsburgh,.308,,,1922
Doubles,St. Louis,280,,,1922
Hits,Pittsburgh,1698,,,1922
Home Runs,Philadelphia,116,,,1922
On Base Percentage,New York,.363,,,1922
Runs,Pittsburgh,865,,,1922
Slugging Average,St. Louis,.444,,,1922
Stolen Bases,Pittsburgh,145,,,1922
Triples,Pittsburgh,110,,,1922
Complete Games,Cincinnati,88,,,1922
Complete Games,Pittsburgh,88,,,1922
ERA,New York,3.45,,,1922
Fewest Hits Allowed,New York,1454,,,1922
Fewest Home Runs Allowed,Cincinnati,49,,,1922
Fewest Walks Allowed,Cincinnati,326,,,1922
Saves,New York,15,,,1922
Shutouts,Pittsburgh,15,,,1922
Strikeouts,Brooklyn,499,,,1922
Base on Balls,George Burns,Cincinnati,101.0,,1923
Batting Average,Rogers Hornsby,St. Louis,0.384,,1923
Doubles,Edd Roush,Cincinnati,41.0,,1923
Hits,Frankie Frisch,New York,223.0,,1923
Home Runs,Cy Williams,Philadelphia,41.0,,1923
On Base Percentage,Rogers Hornsby,St. Louis,0.459,,1923
RBI,Irish Meusel,New York,125.0,,1923
Runs,Ross Youngs,New York,121.0,,1923
Slugging Average,Rogers Hornsby,St. Louis,0.627,,1923
Stolen Bases,Max Carey,Pittsburgh,51.0,,1923
Total Bases,Frankie Frisch,New York,311.0,,1923
Triples,Max Carey,Pittsburgh,19.0,,1923
Triples,Pie Traynor,Pittsburgh,19.0,,1923
Complete Games,Burleigh Grimes,Brooklyn,33.0,,1923
ERA,Dolf Luque,Cincinnati,1.93,,1923
Games,Claude Jonnard,New York,45.0,,1923
Games,Rosy Ryan,New York,45.0,,1923
Saves,Claude Jonnard,New York,5.0,,1923
Shutouts,Dolf Luque,Cincinnati,5.0,,1923
Strikeouts,Dazzy Vance,Brooklyn,197.0,,1923
Winning Percentage,Dolf Luque,Cincinnati,0.771,,1923
Wins,Dolf Luque,Cincinnati,27.0,,1923
1923 National League Team Standings,1923 National League Team Standings,1923 National League Team Standings,,,1923
Team [Click for roster],Wins,Losses,,,1923
New York Giants,95,58,0.621,0.0,1923
Cincinnati Reds,91,63,0.591,,1923
Pittsburgh Pirates,87,67,0.565,,1923
Chicago Cubs,83,71,0.539,,1923
St. Louis Cardinals,79,74,0.516,16.0,1923
Brooklyn Robins,76,78,0.494,,1923
Boston Braves,54,100,0.351,,1923
Philadelphia Phillies,50,104,0.325,,1923
Base on Balls,New York,487,,,1923
Batting Average,New York,.295,,,1923
Doubles,St. Louis,274,,,1923
Hits,New York,1610,,,1923
Home Runs,Philadelphia,112,,,1923
On Base Percentage,New York,.356,,,1923
Runs,New York,854,,,1923
Slugging Average,New York,.415,,,1923
Stolen Bases,Chicago,181,,,1923
Triples,Pittsburgh,111,,,1923
Complete Games,Brooklyn,94,,,1923
ERA,Cincinnati,3.22,,,1923
Fewest Hits Allowed,Chicago,1419,,,1923
Fewest Home Runs Allowed,Cincinnati,28,,,1923
Fewest Walks Allowed,Cincinnati,359,,,1923
Saves,New York,18,,,1923
Shutouts,Boston,13,,,1923
Strikeouts,Brooklyn,548,,,1923
Base on Balls,Rogers Hornsby,St. Louis,89.0,,1924
Batting Average,Rogers Hornsby,St. Louis,0.424,,1924
Doubles,Rogers Hornsby,St. Louis,43.0,,1924
Hits,Rogers Hornsby,St. Louis,227.0,,1924
Home Runs,Jack Fournier,Brooklyn,27.0,,1924
On Base Percentage,Rogers Hornsby,St. Louis,0.507,,1924
RBI,George Kelly,New York,136.0,,1924
Runs,Frankie Frisch,New York,121.0,,1924
Runs,Rogers Hornsby,St. Louis,121.0,,1924
Slugging Average,Rogers Hornsby,St. Louis,0.696,,1924
Stolen Bases,Max Carey,Pittsburgh,49.0,,1924
Total Bases,Rogers Hornsby,St. Louis,373.0,,1924
Triples,Edd Roush,Cincinnati,21.0,,1924
1924 N.L. History | 1924 N.L. History | Year-by-Year History,1924 N.L. History | 1924 N.L. History | Year-by-Year History,1924 N.L. History | 1924 N.L. History | Year-by-Year History,,,1924
Complete Games,Burleigh Grimes,Brooklyn,30.0,,1924
Complete Games,Dazzy Vance,Brooklyn,30.0,,1924
ERA,Dazzy Vance,Brooklyn,2.16,,1924
Games,Ray Kremer,Pittsburgh,41.0,,1924
Games,Johnny Morrison,Pittsburgh,41.0,,1924
Saves,Jakie May,Cincinnati,6.0,,1924
Shutouts,Jesse Barnes,Boston,4.0,,1924
Shutouts,Wilbur Cooper,Pittsburgh,4.0,,1924
Shutouts,Ray Kremer,Pittsburgh,4.0,,1924
Shutouts,Eppa Rixey,Cincinnati,4.0,,1924
Shutouts,Allen Sothoron,St. Louis,4.0,,1924
Shutouts,Emil Yde,Pittsburgh,4.0,,1924
Strikeouts,Dazzy Vance,Brooklyn,262.0,,1924
Winning Percentage,Emil Yde,Pittsburgh,0.842,,1924
Wins,Dazzy Vance,Brooklyn,28.0,,1924
1924 N.L. History | 1924 N.L. History | Year-by-Year History,1924 N.L. History | 1924 N.L. History | Year-by-Year History,1924 N.L. History | 1924 N.L. History | Year-by-Year History,,,1924
Team | Roster,W,L,,,1924
New York Giants,93,60,0.0,0.608,1924
Brooklyn Robins,92,62,0.0,0.597,1924
Pittsburgh Pirates,90,63,0.0,0.588,1924
Cincinnati Reds,83,70,0.0,0.542,1924
Chicago Cubs,81,72,0.0,0.529,1924
St. Louis Cardinals,65,89,0.0,0.422,1924
Philadelphia Phillies,55,96,1.0,0.364,1924
Boston Braves,53,100,1.0,0.346,1924
Team | Roster,W,L,,,1924
National League Team Standings,National League Team Standings,National League Team Standings,,,1924
Base on Balls,Chicago,469,,,1924
Batting Average,New York,.300,,,1924
Doubles,St. Louis,270,,,1924
Hits,New York,1634,,,1924
Home Runs,New York,95,,,1924
On Base Percentage,New York,.358,,,1924
Runs,New York,857,,,1924
Slugging Average,New York,.432,,,1924
Stolen Bases,Pittsburgh,181,,,1924
Triples,Pittsburgh,122,,,1924
Complete Games,Brooklyn,97,,,1924
ERA,Cincinnati,3.12,,,1924
Fewest Hits Allowed,Pittsburgh,1387,,,1924
Fewest Home Runs Allowed,Cincinnati,30,,,1924
Fewest Walks Allowed,Cincinnati,293,,,1924
Saves,New York,21,,,1924
Shutouts,Pittsburgh,15,,,1924
Strikeouts,Brooklyn,638,,,1924
Base on Balls,Jack Fournier,Brooklyn,86.0,,1925
Batting Average,Rogers Hornsby,St. Louis,0.403,,1925
Doubles,Jim Bottomley,St. Louis,44.0,,1925
Hits,Jim Bottomley,St. Louis,227.0,,1925
Home Runs,Rogers Hornsby,St. Louis,39.0,,1925
On Base Percentage,Rogers Hornsby,St. Louis,0.489,,1925
RBI,Rogers Hornsby,St. Louis,143.0,,1925
Runs,Kiki Cuyler,Pittsburgh,144.0,,1925
Slugging Average,Rogers Hornsby,St. Louis,0.756,,1925
Stolen Bases,Max Carey,Pittsburgh,46.0,,1925
Total Bases,Rogers Hornsby,St. Louis,381.0,,1925
Triples,Kiki Cuyler,Pittsburgh,26.0,,1925
Complete Games,Pete Donohue,Cincinnati,27.0,,1925
ERA,Dolf Luque,Cincinnati,2.63,,1925
Games,Johnny Morrison,Pittsburgh,44.0,,1925
Saves,Guy Bush,Chicago,4.0,,1925
Saves,Johnny Morrison,Pittsburgh,4.0,,1925
Shutouts,Hal Carlson,Philadelphia,4.0,,1925
Shutouts,Dolf Luque,Cincinnati,4.0,,1925
Shutouts,Dazzy Vance,Brooklyn,4.0,,1925
Strikeouts,Dazzy Vance,Brooklyn,221.0,,1925
Winning Percentage,Bill Sherdel,St. Louis,0.714,,1925
Wins,Dazzy Vance,Brooklyn,22.0,,1925
1925 National League Team Standings,1925 National League Team Standings,1925 National League Team Standings,,,1925
Team [Click for roster],Wins,Losses,,,1925
Pittsburgh Pirates,95,58,0.621,0.0,1925
New York Giants,86,66,0.566,,1925
Cincinnati Reds,80,73,0.523,15.0,1925
St. Louis Cardinals,77,76,0.503,18.0,1925
Boston Braves,70,83,0.458,25.0,1925
Philadelphia Phillies,68,85,0.444,27.0,1925
Brooklyn Robins,68,85,0.444,27.0,1925
Chicago Cubs,68,86,0.442,,1925
Base on Balls,Pittsburgh,499,,,1925
Batting Average,Pittsburgh,.307,,,1925
Doubles,Pittsburgh,316,,,1925
Hits,Pittsburgh,1651,,,1925
Home Runs,New York,114,,,1925
On Base Percentage,Pittsburgh,.369,,,1925
Runs,Pittsburgh,912,,,1925
Slugging Average,Pittsburgh,.449,,,1925
Stolen Bases,Pittsburgh,159,,,1925
Triples,Pittsburgh,105,,,1925
Complete Games,Cincinnati,92,,,1925
ERA,Cincinnati,3.39,,,1925
Fewest Hits Allowed,Cincinnati,1447,,,1925
Fewest Home Runs Allowed,Cincinnati,35,,,1925
Fewest Walks Allowed,Cincinnati,324,,,1925
Saves,Pittsburgh,13,,,1925
Shutouts,Cincinnati,11,,,1925
Strikeouts,Brooklyn,518,,,1925
Base on Balls,Hack Wilson,Chicago,69.0,,1926
Batting Average,Bubbles Hargrave,Cincinnati,0.353,,1926
Doubles,Jim Bottomley,St. Louis,40.0,,1926
Hits,Eddie Brown,Boston,201.0,,1926
Home Runs,Hack Wilson,Chicago,21.0,,1926
On Base Percentage,Paul Waner,Pittsburgh,0.413,,1926
RBI,Jim Bottomley,St. Louis,120.0,,1926
Runs,Kiki Cuyler,Pittsburgh,113.0,,1926
Slugging Average,Cy Williams,Philadelphia,0.568,,1926
Stolen Bases,Kiki Cuyler,Pittsburgh,35.0,,1926
Total Bases,Jim Bottomley,St. Louis,305.0,,1926
Triples,Paul Waner,Pittsburgh,22.0,,1926
Complete Games,Carl Mays,Cincinnati,24.0,,1926
ERA,Ray Kremer,Pittsburgh,2.61,,1926
Games,Jack Scott,New York,50.0,,1926
Saves,Chick Davies,New York,6.0,,1926
Shutouts,Pete Donohue,Cincinnati,5.0,,1926
Strikeouts,Dazzy Vance,Brooklyn,184.0,,1926
Winning Percentage,Ray Kremer,Pittsburgh,0.769,,1926
Wins,Pete Donohue,Cincinnati,20.0,,1926
Wins,Ray Kremer,Pittsburgh,20.0,,1926
Wins,Lee Meadows,Pittsburgh,20.0,,1926
Wins,Flint Rhem,St. Louis,20.0,,1926
1926 National League Team Standings,1926 National League Team Standings,1926 National League Team Standings,,,1926
Team [Click for roster],Wins,Losses,,,1926
St. Louis Cardinals,89,65,0.578,0.0,1926
Cincinnati Reds,87,67,0.565,2.0,1926
Pittsburgh Pirates,84,69,0.549,,1926
Chicago Cubs,82,72,0.532,7.0,1926
New York Giants,74,77,0.49,,1926
Brooklyn Robins,71,82,0.464,,1926
Boston Braves,66,86,0.434,22.0,1926
Philadelphia Phillies,58,93,0.384,,1926
Base on Balls,St. Louis,478,,,1926
Batting Average,Cincinnati,.290,,,1926
Doubles,Chicago,291,,,1926
Hits,Cincinnati,1541,,,1926
Hits,St. Louis,1541,,,1926
Home Runs,St. Louis,90,,,1926
On Base Percentage,Cincinnati,.349,,,1926
Runs,St. Louis,817,,,1926
Slugging Average,St. Louis,.415,,,1926
Stolen Bases,New York,94,,,1926
Triples,Cincinnati,120,,,1926
Complete Games,St. Louis,90,,,1926
ERA,Chicago,3.26,,,1926
Fewest Hits Allowed,New York,1370,,,1926
Fewest Home Runs Allowed,Chicago,39,,,1926
Fewest Walks Allowed,Cincinnati,324,,,1926
Saves,Pittsburgh,18,,,1926
Shutouts,Cincinnati,14,,,1926
Strikeouts,Brooklyn,517,,,1926
Base on Balls,Rogers Hornsby,Boston,86.0,,1927
Batting Average,Paul Waner,Pittsburgh,0.38,,1927
Doubles,Riggs Stephenson,Chicago,46.0,,1927
Hits,Paul Waner,Pittsburgh,237.0,,1927
Home Runs,Cy Williams,Philadelphia,30.0,,1927
Home Runs,Hack Wilson,Chicago,30.0,,1927
On Base Percentage,Rogers Hornsby,New York,0.448,,1927
RBI,Paul Waner,Pittsburgh,131.0,,1927
Runs,Rogers Hornsby,New York,133.0,,1927
Runs,Lloyd Waner,Pittsburgh,133.0,,1927
Slugging Average,Chick Hafey,St. Louis,0.59,,1927
Stolen Bases,Frankie Frisch,St. Louis,48.0,,1927
Total Bases,Paul Waner,Pittsburgh,342.0,,1927
Triples,Paul Waner,Pittsburgh,18.0,,1927
1927 N.L. History | 1927 A.L. History | Year-by-Year History,1927 N.L. History | 1927 A.L. History | Year-by-Year History,1927 N.L. History | 1927 A.L. History | Year-by-Year History,,,1927
Complete Games,Jesse Haines,St. Louis,25.0,,1927
Complete Games,Lee Meadows,Pittsburgh,25.0,,1927
Complete Games,Dazzy Vance,Brooklyn,25.0,,1927
ERA,Ray Kremer,Pittsburgh,2.47,,1927
Games,Charlie Root,Chicago,48.0,,1927
Games,Jack Scott,Philadelphia,48.0,,1927
Saves,Bill Sherdel,St. Louis,6.0,,1927
Shutouts,Jesse Haines,St. Louis,6.0,,1927
Strikeouts,Dazzy Vance,Brooklyn,184.0,,1927
Winning Percentage,Larry Benton,Boston,0.708,,1927
Winning Percentage,Larry Benton,New York,0.708,,1927
Wins,Charlie Root,Chicago,26.0,,1927
1927 N.L. History | 1927 A.L. History | Year-by-Year History,1927 N.L. History | 1927 A.L. History | Year-by-Year History,1927 N.L. History | 1927 A.L. History | Year-by-Year History,,,1927
Team | Roster,W,L,,,1927
Pittsburgh Pirates,94,60,0.61,0.0,1927
St.Louis Cardinals,92,61,0.601,,1927
New York Giants,92,62,0.597,2.0,1927
Chicago Cubs,85,68,0.556,,1927
Cincinnati Reds,75,78,0.49,,1927
Brooklyn Robins,65,88,0.425,,1927
Boston Braves,60,94,0.39,34.0,1927
Philadelphia Phillies,51,103,0.331,43.0,1927
Team | Roster,W,L,,,1927
National League Team Standings,National League Team Standings,National League Team Standings,,,1927
Base on Balls,St. Louis,484,,,1927
Batting Average,Pittsburgh,.305,,,1927
Doubles,Chicago,266,,,1927
Hits,Pittsburgh,1648,,,1927
Home Runs,New York,109,,,1927
On Base Percentage,Pittsburgh,.361,,,1927
Runs,New York,817,,,1927
Runs,Pittsburgh,817,,,1927
Slugging Average,New York,.427,,,1927
Stolen Bases,St. Louis,110,,,1927
Triples,St. Louis,79,,,1927
Complete Games,Pittsburgh,90,,,1927
ERA,Brooklyn,3.36,,,1927
Fewest Hits Allowed,Brooklyn,1382,,,1927
Fewest Home Runs Allowed,Cincinnati,36,,,1927
Fewest Walks Allowed,Cincinnati,316,,,1927
Saves,New York,16,,,1927
Shutouts,St. Louis,14,,,1927
Strikeouts,Brooklyn,574,,,1927
Base on Balls,Rogers Hornsby,Boston,107.0,,1928
Batting Average,Rogers Hornsby,Boston,0.387,,1928
Doubles,Paul Waner,Pittsburgh,50.0,,1928
Hits,Freddie Lindstrom,New York,231.0,,1928
Home Runs,Jim Bottomley,St. Louis,31.0,,1928
Home Runs,Hack Wilson,Chicago,31.0,,1928
On Base Percentage,Rogers Hornsby,Boston,0.498,,1928
RBI,Jim Bottomley,St. Louis,136.0,,1928
Runs,Paul Waner,Pittsburgh,142.0,,1928
Slugging Average,Rogers Hornsby,Boston,0.632,,1928
Stolen Bases,Kiki Cuyler,Chicago,37.0,,1928
Total Bases,Jim Bottomley,St. Louis,362.0,,1928
Triples,Jim Bottomley,St. Louis,20.0,,1928
Complete Games,Larry Benton,New York,28.0,,1928
Complete Games,Burleigh Grimes,Pittsburgh,28.0,,1928
ERA,Dazzy Vance,Brooklyn,2.09,,1928
Games,Burleigh Grimes,Pittsburgh,48.0,,1928
Saves,Hal Haid,St. Louis,5.0,,1928
Saves,Bill Sherdel,St. Louis,5.0,,1928
Shutouts,Sheriff Blake,Chicago,4.0,,1928
Shutouts,Burleigh Grimes,Pittsburgh,4.0,,1928
Shutouts,Red Lucas,Cincinnati,4.0,,1928
Shutouts,Doug McWeeny,Brooklyn,4.0,,1928
Shutouts,Dazzy Vance,Brooklyn,4.0,,1928
Strikeouts,Dazzy Vance,Brooklyn,200.0,,1928
Winning Percentage,Larry Benton,New York,0.735,,1928
Wins,Larry Benton,New York,25.0,,1928
Wins,Burleigh Grimes,Pittsburgh,25.0,,1928
1928 National League Team Standings,1928 National League Team Standings,1928 National League Team Standings,,,1928
Team [Click for roster],Wins,Losses,,,1928
St.Louis Cardinals,95,59,0.617,0.0,1928
New York Giants,93,61,0.604,2.0,1928
Chicago Cubs,91,63,0.591,4.0,1928
Pittsburgh Pirates,85,67,0.559,9.0,1928
Cincinnati Reds,78,74,0.513,16.0,1928
Brooklyn Robins,77,76,0.503,,1928
Boston Braves,50,103,0.327,,1928
Philadelphia Phillies,43,109,0.283,51.0,1928
Base on Balls,St. Louis,568,,,1928
Batting Average,Pittsburgh,.309,,,1928
Doubles,St. Louis,292,,,1928
Hits,Pittsburgh,1659,,,1928
Home Runs,New York,118,,,1928
On Base Percentage,Pittsburgh,.364,,,1928
Runs,Pittsburgh,837,,,1928
Slugging Average,New York,.430,,,1928
Stolen Bases,Chicago,83,,,1928
Stolen Bases,Cincinnati,83,,,1928
Triples,Pittsburgh,100,,,1928
Complete Games,St. Louis,83,,,1928
ERA,Brooklyn,3.25,,,1928
Fewest Hits Allowed,Brooklyn,1378,,,1928
Fewest Home Runs Allowed,Chicago,56,,,1928
Fewest Walks Allowed,St. Louis,399,,,1928
Saves,St. Louis,21,,,1928
